Прізвище Ім'я По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Зінченко Амалія Вʼячеславівна,Жіноча,1962-06-12,Директор,хутір Харків,"парк Чапаєва, буд. 9 кв. 1, Вільногірськ, 31442",+380 01 789-02-46,kdevdiuk@example.com
Талан Віра Григоріївна,Жіноча,1992-01-01,Директор,селище Алмазна,"набережна Суднобудівний, буд. 684 кв. 04, Горохів, 43576",062 658 25 54,les22@example.org
Щербак Микита Леонтійович,Чоловіча,1944-11-12,Програміст,хутір Докучаєвськ,"площа Шостої 1-й, буд. 18, Монастирище, 42680",+380 54 410-35-15,navdieienko@example.org
Непорожній Галина Степанівна,Жіноча,1998-09-24,Директор,село Славута,"сквер Київське, буд. 42 кв. 03, Знам'янка, 73193",+380 55 685 35 48,roksolanakabaliuk@example.org
Девдюк Аліна Остапівна,Жіноча,1987-10-12,Програміст,село Миронівка,"сквер Академіка Вільямса, буд. 1 кв. 73, Лубни, 87760",054 847 31 72,vvasylashko@example.org
Колісниченко Любов Федорівна,Жіноча,1951-03-10,Директор,хутір Перемишляни,"шосе 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 6, Самбір, 15067",026 793 84 44,valeriiizhakevych@example.net
Талан Едуард Болеславович,Чоловіча,1967-11-11,Директор,село Надвірна,"вулиця Виноградна 3-тя, буд. 52 кв. 7, Волноваха, 18784",+380 53 651-38-42,oleksa47@example.org
Гавриш Олег Тимофійович,Чоловіча,2005-07-25,Аналітик,місто Коломия,"провулок Болградська, буд. 4 кв. 689, Ясинувата, 46031",+380 15 466-33-15,dtymchenko@example.org
Кащенко Маруся Ігнатівна,Жіноча,1999-03-24,Аналітик,селище Березне,"вулиця Об'їзна дорога, буд. 175, Жовква, 26300",383 41 18,aieromenko@example.org
Деревʼянко Юхим Ігорович,Чоловіча,1979-04-08,Програміст,село Зборів,"проспект Окружна, буд. 6 кв. 4, Житомир, 58064",652 92 44,bohdannabaturynets@example.com
Яременко Богодар Опанасович,Чоловіча,1983-08-18,Директор,село Березань ,"проспект Панаса Мирного, буд. 2 кв. 524, Ізяслав, 73593",+380 47 208-07-67,hanna27@example.com
Тимчук Єва Олександрівна,Жіноча,1992-07-07,Директор,село Чорноморськ,"проспект 9-та Суворовська, буд. 556, Путивль, 74921",582 02 02,korolenkomarko@example.org
Гайда Богданна Владиславівна,Жіноча,1944-10-07,Менеджер,хутір Коломия,"узвіз Коцюбинського, буд. 676 кв. 2, Сторожинець, 15230",080 294 72 31,izhakoleksa@example.org
Теліженко Мартин Геннадійович,Чоловіча,1999-08-25,Директор,село Іршава,"узвіз Суперфосфатна, буд. 0, Сулимівка (Слов'янськ), 61169",085 547-49-63,gbazylevska@example.org
Байда Леопольд Іванович,Чоловіча,1948-05-12,Аналітик,село Горлівка,"узвіз Проточний, буд. 38, Сватове, 26922",470-36-64,bohdanbaranyk@example.com
Колодуб Юхим Трохимович,Чоловіча,1945-11-16,Програміст,селище Суходільськ,"шосе Корнюшина, буд. 189 кв. 1, Ватутіне, 61092",088 537 71 02,iaroslav55@example.org
Єфименко Руслан Орхипович,Чоловіча,1990-02-17,Менеджер,місто Коростишів,"проспект Побратимів, буд. 9 кв. 1, Світловодськ, 71912",930-99-17,mykytavakhnii@example.net
Свистун Григорій Веніяминович,Чоловіча,1972-03-27,Менеджер,село Бар,"проспект Учительський, буд. 3 кв. 542, Алмазна, 87925",192-08-07,turkaloiakiv@example.net
Єрченко Орися Григоріївна,Жіноча,2001-10-23,Менеджер,місто Андрушівка,"проспект Восьмого березня 7-й, буд. 4 кв. 919, Барвінкове, 21509",824 75 77,ieromenkoolha@example.net
Івасюк Ліза Богодарівна,Жіноча,1967-03-04,Програміст,хутір Володимир-Волинський,"вулиця Бориса Дерев'янка, буд. 43, Іловайськ, 18508",823-91-54,fedirilchenko@example.com
Даниленко Галина Тимофіївна,Жіноча,1994-07-25,Програміст,хутір Ржищів,"шосе Гвоздична, буд. 806, Теплодар, 65497",+380 87 001-15-61,romanchuksymon@example.net
Твердохліб Орест Валентинович,Чоловіча,1947-05-27,Менеджер,хутір Боково-Хрустальне,"провулок Чорноморський 4-й, буд. 05 кв. 1, Новомиргород, 31651",071-66-45,babychievhen@example.com
Романчук Борислав Пантелеймонович,Чоловіча,1980-03-28,Менеджер,селище Рожище,"проспект Приморська, буд. 235 кв. 7, Гадяч, 77018",091 615 04 62,dkanivets@example.net
Туркало Наталія Марківна,Жіноча,1997-11-15,Програміст,селище Умань,"проспект Раїси Сергієнко, буд. 42 кв. 234, Сорокине, 01787",776 28 64,sviatoslavteslia@example.com
Щербань Амалія Леонтіївна,Жіноча,2002-01-03,Програміст,селище Перемишляни,"провулок Лінія 53-тя, буд. 05, Івано-Франківськ, 94803",+380 83 615-50-02,veniiamynhuzenko@example.com
Баштан Павло Ростиславович,Чоловіча,1961-02-21,Директор,село Світловодськ,"вулиця Сурикова, буд. 387, Острог, 80484",702 90 08,orysiahavrylenko@example.com
Шведченко Арсен Богданович,Чоловіча,1982-10-08,Програміст,село Ватутіне,"провулок Рєпіна, буд. 907, Городенка, 76503",022 352-71-47,albina65@example.net
Авраменко Віталій Валерійович,Чоловіча,2004-03-12,Програміст,хутір Чистякове,"провулок Маразліївська, буд. 40 кв. 3, Олевськ, 75145",205 83 20,edyta06@example.net
Пушкар Данна Вікторівна,Жіноча,1947-06-22,Програміст,хутір Молочанськ,"набережна Колонічна, буд. 21, Миргород, 54304",033 102 45 58,aaron44@example.net
Годунок Левко Семенович,Чоловіча,1942-08-11,Аналітик,селище Федорівка,"провулок Каманіна, буд. 41 кв. 411, Дубровиця, 81641",744 90 48,orysia16@example.com
Засядько Валентина Прохорівна,Жіноча,1999-03-30,Менеджер,місто Комарно,"узвіз Куликовський 2-й, буд. 492 кв. 556, Євпаторія, 62267",028 082-80-66,geregatetiana@example.com
Токар Августин Арсенович,Чоловіча,1952-07-18,Директор,місто Корець,"провулок Прокатна, буд. 4, Золочів, 77091",+380 05 079-79-29,afartushniak@example.com
Байдак Лариса Вʼячеславівна,Жіноча,1952-06-06,Директор,селище Бобровиця,"вулиця Молодогвардійська, буд. 90 кв. 020, Глухів, 15194",049 079-28-99,mykhaliukanastasiia@example.net
Ребрик Демид Валерійович,Чоловіча,1992-12-29,Менеджер,місто Шпола,"проспект Терещенка Володимира, буд. 530 кв. 374, Апостолове, 01816",+380 40 486-80-81,nazar93@example.com
Хомик Устим Зиновійович,Чоловіча,1964-05-17,Програміст,селище Ходорів,"площа Благовидової, буд. 0 кв. 6, Чуднів, 61287",+380 43 271-71-76,edytatalan@example.net
Кальченко Данило Пилипович,Чоловіча,1945-09-19,Програміст,хутір Коростишів,"узвіз Докова, буд. 24 кв. 77, Пустомити, 05512",004 895-17-62,uzasukha@example.org
Баранник Роман Федорович,Чоловіча,2006-09-16,Аналітик,селище Охтирка,"провулок Шефська, буд. 395, Монастирище, 05634",+380 56 611 78 38,nataliiashovkoplias@example.net
Ватаманюк Розалія Данилівна,Жіноча,1974-05-20,Програміст,місто Берестечко,"набережна Нежданової, буд. 747 кв. 51, Тульчин, 40602",+380 84 138-89-03,martynkorbut@example.net
Абрамчук Валентин Пилипович,Чоловіча,1953-09-16,Аналітик,хутір Чернівці,"площа Східчастий, буд. 656 кв. 69, Монастирище, 44336",+380 39 519-45-04,stefanzatovkaniuk@example.net
Данько Пилип Пантелеймонович,Чоловіча,1951-11-17,Менеджер,хутір Пустомити,"парк Авіаційна, буд. 10 кв. 64, Нововолинськ, 76830",071 052 01 45,olhaderkach@example.com
Вакуленко Леон Августинович,Чоловіча,1990-11-21,Програміст,хутір Феодосія,"вулиця Суперфосфатна, буд. 88 кв. 7, Феодосія, 93850",092 297-94-54,rozaliia69@example.org
Чередник Вадим Хомович,Чоловіча,1939-12-18,Директор,селище Василівка ,"набережна Метрополітенівський, буд. 599, Южноукраїнськ, 85316",011 410-33-65,oberemkoielysei@example.com
Гайденко Марія Омелянівна,Жіноча,1954-08-05,Директор,селище Вуглегірськ,"шосе Умова, буд. 9 кв. 806, Нова Одеса, 39080",045 417-72-22,nandreiko@example.net
Деркач Софія Іванівна,Жіноча,1949-10-14,Директор,місто Гребінка,"площа Дзвінка, буд. 35, Харцизьк, 54528",+380 (13) 194-78-68,smykhailychenko@example.com
Ватаманюк Ліза Бориславівна,Жіноча,2002-09-29,Директор,місто Яготин,"набережна Тимірязєва 4-й, буд. 4 кв. 217, Герца, 30219",+380 (02) 074-86-81,orest69@example.org
Панчук Симон Климентович,Чоловіча,1977-08-28,Директор,селище Українськ,"вулиця Городня, буд. 316 кв. 5, Верхньодніпровськ, 16189",+380 48 776-77-39,ndavydenko@example.net
Ісаєвич Антон Теодорович,Чоловіча,2000-06-30,Аналітик,село Радивилів,"провулок Скляний 2-й, буд. 33 кв. 46, Устилуг, 92704",+380 10 679-17-86,klymentnosachenko@example.net
Лисенко Макар Глібович,Чоловіча,1962-10-18,Директор,селище Турка,"набережна Некрасова, буд. 28 кв. 35, Гребінка, 60687",075 343 79 22,vlasiuktymofii@example.com
Франко Степан Трохимович,Чоловіча,1984-09-25,Аналітик,місто Бібрка,"набережна Вокзальний, буд. 2, Старий Самбір, 90365",+380 08 821-57-94,huzenkoklavdiia@example.org
Ляшко Петро Іванович,Чоловіча,1944-03-28,Програміст,село Курахове,"набережна Черепанових, буд. 28, Подільськ, 56906",+380 (34) 856-19-71,khomashtepa@example.org
Бандура Святослава Едуардівна,Жіноча,1980-05-19,Аналітик,хутір Чорноморськ,"набережна Косовська, буд. 92, Копичинці, 84415",021 545 69 23,irenazasenko@example.net
Баран Марина Арсенівна,Жіноча,2007-11-27,Директор,селище Тараща,"узвіз Степана Олійника узвіз, буд. 53, Докучаєвськ, 42840",+380 62 205-93-32,kabaliukmykyta@example.org
Полтавець Емілія Антонівна,Жіноча,1986-11-06,Менеджер,хутір Соледар,"провулок Люстдорфська дорога, буд. 21 кв. 0, Часів Яр, 04391",022 477 45 01,trokhym36@example.net
Примаченко Юстина Васильівна,Жіноча,1945-01-07,Програміст,місто Первомайськ,"площа Дунаєвського 1-й, буд. 994, Вашківці, 49605",699 95 72,ihor14@example.com
Іщенко Михайло Мирославович,Чоловіча,1973-07-18,Аналітик,місто Бориспіль,"площа Лазурний 4-й, буд. 3, Нововолинськ, 20523",+380 04 527-53-29,zbakumenko@example.net
Зінкевич Степан Ростиславович,Чоловіча,1970-01-29,Програміст,село Щастя ,"сквер Новощіпний ряд, буд. 44, Бахчисарай, 71428",046 857 61 90,khoma96@example.com
Данькевич Клавдія Соломонівна,Жіноча,1958-04-15,Програміст,село Борзна,"сквер Асташкіна, буд. 71, Бібрка, 90774",+380 75 558-46-59,shcherbanhalyna@example.org
Бездітко Юстим Леонідович,Чоловіча,1954-11-19,Програміст,місто Чорнобиль,"вулиця Польовий 1-й, буд. 33, Сквира, 66341",+380 35 315-01-34,vasyl61@example.com
Александренко Кирило Ростиславович,Чоловіча,1998-03-13,Програміст,селище Тлумач,"проспект Мацієвської узвіз, буд. 69 кв. 05, Мала Виска, 93220",+380 16 208-18-95,olhakolisnychenko@example.org
Василечко Єфрем Володимирович,Чоловіча,1949-03-31,Менеджер,селище Кипуче,"шосе Розкидайлівська, буд. 84 кв. 9, Немирів, 91434",+380 56 491-72-35,lmasokha@example.org
Акименко Емілія Володимирівна,Жіноча,1944-01-25,Директор,місто Благовіщенське,"проспект Сергія Ядова, буд. 7, Чорнобиль, 84717",057 493-62-84,petroshvachko@example.org
Фурс Омелян Бориславович,Чоловіча,1971-07-18,Програміст,місто Каховка,"провулок Любашівський, буд. 16, Южноукраїнськ, 03941",068 915-82-61,geretavladyslav@example.com
Оліфіренко Розалія Борисівна,Жіноча,1979-05-17,Директор,селище Горохів,"вулиця 2-й Академічний тупик, буд. 677 кв. 674, Долина , 12853",946 74 77,saienkoalbina@example.net
Лемешко Аркадій Теодорович,Чоловіча,2004-08-31,Директор,хутір Ковель,"проспект Просьолочна, буд. 0 кв. 6, Миколаївка , 15286",+380 41 644-78-90,marusiacharnysh@example.org
Гавришкевич Лариса Павлівна,Жіноча,1979-12-22,Директор,село Ровеньки,"сквер Декабристів, буд. 33 кв. 583, Стрий, 22719",+380 31 545-53-41,chubaihryhorii@example.org
Чуприна Устим Георгійович,Чоловіча,1975-08-24,Програміст,місто Гребінка,"проспект Чорноморського козацтва, буд. 734 кв. 728, Рава-Руська, 93586",+380 81 823 52 05,bohdan59@example.net
Прокопович Лукʼян Аврелійович,Чоловіча,1961-05-20,Програміст,село Армянськ,"парк 4-та Лінія Марії Демченко, буд. 3, Каховка, 50716",+380 94 314-23-83,martabashpolchenko@example.com
Макаренко Яків Охрімович,Чоловіча,1970-03-01,Директор,хутір Сорокине,"провулок Астрономічна, буд. 007, Тлумач, 92614",+380 74 438-62-66,oryna77@example.org
Рева Ярина Богуславівна,Жіноча,1999-05-28,Директор,місто Гайсин,"шосе Палубна, буд. 9, Сколе, 88054",+380 (11) 407-08-08,odashkevych@example.org
Орлик Вадим Адамович,Чоловіча,1956-02-04,Менеджер,місто Зіньків,"провулок Ломоносова, буд. 036, Малин, 40025",474 70 94,ilienkooleksandr@example.net
Височан Тетяна Михайлівна,Жіноча,1948-04-03,Програміст,село Умань,"площа Зернова, буд. 673 кв. 6, Борщів, 02152",+380 80 755-17-13,sokhrimenko@example.org
Романенко Соломон Давидович,Чоловіча,1949-09-30,Менеджер,місто Бучач,"сквер Гена Іоганна, буд. 02 кв. 0, Амвросіївка, 30468",+380 82 729-45-58,kashchenkoustym@example.net
Андріїшин Роксолана Феофанівна,Жіноча,1992-10-30,Програміст,селище Ватутіне,"вулиця 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 806, Кипуче, 85617",469-28-87,petro45@example.org
Забіла Богуслава Азарівна,Жіноча,1944-04-15,Директор,хутір Глухів,"узвіз Морехідний, буд. 148, Самбір, 30464",035 020-52-28,vlasenkovolodymyra@example.net
Цибуленко Костянтин Вʼячеславович,Чоловіча,1953-04-13,Аналітик,місто Золочів,"вулиця Виноградна, буд. 9, Збараж, 74002",126 97 55,roman35@example.net
Бабʼюк Василина Лесівна,Жіноча,1959-09-12,Аналітик,місто Таврійськ,"узвіз Компасний, буд. 231, Радомишль, 29871",+380 45 755 14 28,kyrylenkovasyl@example.com
Гайдамака Ярина Прохорівна,Жіноча,2001-05-28,Програміст,хутір Андрушівка,"вулиця Крайня, буд. 04 кв. 3, Кіцмань, 77034",+380 (67) 273-61-76,ostap48@example.com
Шелест Марʼяна Демʼянівна,Жіноча,1939-07-03,Менеджер,село Пирятин,"сквер Соляний 6-й, буд. 0 кв. 061, Канів, 46664",+380 79 179-05-75,ihorbhydenko@example.org
Гайдабура Зорян Зорянович,Чоловіча,1973-01-12,Програміст,хутір Вишгород,"шосе Варненська, буд. 0 кв. 29, Заліщики, 39389",045 788-67-35,ieroshenkohennadii@example.net
Василечко Гаврило Юстимович,Чоловіча,1949-08-06,Аналітик,село Андрушівка,"сквер Деволанівський узвіз, буд. 24 кв. 5, Балта, 33815",+380 (22) 622-39-43,marusiakanivets@example.com
Корпанюк Феофан Леопольдович,Чоловіча,1939-04-01,Менеджер,село Гнівань,"проспект Отрадна, буд. 218 кв. 435, Кам'янець-Подільський, 79687",263 51 91,petroilienko@example.net
Рябошапка Гаврило Ігорович,Чоловіча,1952-05-21,Програміст,хутір Канів,"сквер Пересипська 4-та, буд. 9, Барвінкове, 17771",669-21-40,zlatoslavailchenko@example.org
Верес Георгій Вадимович,Чоловіча,1943-03-01,Менеджер,селище Свалява,"узвіз Обільна, буд. 633 кв. 16, Миронівка, 71050",+380 32 516 01 03,bezditkopanteleimon@example.org
Масляк Феофан Стефанович,Чоловіча,1947-02-03,Аналітик,місто Київ,"узвіз Армійська, буд. 620, Підгайці, 08704",027 155 30 30,teodorchaika@example.org
Годунок Орина Дмитріївна,Жіноча,2006-09-20,Програміст,хутір Косів,"вулиця Моторний 3-й, буд. 588 кв. 0, Старий Самбір, 63246",133 85 21,vlasiukorest@example.com
Бгиденко Олександр Соломонович,Чоловіча,2002-02-01,Менеджер,селище Конотоп,"вулиця Платанова, буд. 172, Миргород, 01174",+380 77 362-42-77,ekorsun@example.org
Туркало Назар Августинович,Чоловіча,1984-01-24,Програміст,хутір Обухів,"узвіз Поштова, буд. 71, Тернівка , 06105",096-17-02,rozaliia21@example.org
Хорішко Ілля Орхипович,Чоловіча,1990-05-06,Директор,хутір Селидове,"проспект Яблучна, буд. 7 кв. 357, Антрацит , 72480",829-58-21,liubov90@example.org
Єрошенко Анастасія Августинівна,Жіноча,1945-08-15,Менеджер,хутір Сімферополь,"набережна Юхима Геллера, буд. 95, Нова Одеса, 61840",+380 76 434-76-16,adashyian@example.net
Семенченко Володимир Петрович,Чоловіча,1940-11-29,Менеджер,місто Білогірськ,"площа Садова 4-та, буд. 09 кв. 2, Чорнобиль, 93690",+380 61 040 07 15,alina14@example.net
Токар Тарас Олегович,Чоловіча,1944-01-05,Аналітик,хутір Болград,"парк Сортувальна 2-га, буд. 713 кв. 97, Знам'янка, 05905",097 930-51-58,ghuzenko@example.net
Пелех Юстим Богодарович,Чоловіча,1945-08-25,Програміст,село Молодогвардійськ,"сквер Таїрова, буд. 242 кв. 1, Марганець , 73103",+380 31 433-55-02,zavramenko@example.org
Єрченко Варвара Пантелеймонівна,Жіноча,1970-09-18,Аналітик,місто Іловайськ,"сквер Самодіяльна, буд. 9 кв. 102, Жовті Води, 56728",+380 79 084-80-52,orest19@example.org
Ковпак Тетяна Яремівна,Жіноча,1941-04-14,Аналітик,селище Південне ,"проспект Лютневий 2-й, буд. 44, Голубівка, 75207",+380 88 312-50-91,anita43@example.org
Шутько Ярослав Антонович,Чоловіча,2002-01-27,Аналітик,місто Лубни,"площа Ф. Пішеніна, буд. 4, Алчевськ, 15530",544 37 42,dankoviktor@example.org
Ковалюк Єлисавета Євгенівна,Жіноча,1992-10-19,Програміст,село Бучач,"площа Східчастий 4-й, буд. 388 кв. 24, Новгород-Сіверський, 62679",+380 (65) 035-85-78,demian23@example.com
Засуха Орися Данилівна,Жіноча,2000-11-20,Програміст,хутір Арциз,"проспект Заньковецької, буд. 30 кв. 23, Лутугине, 98705",+380 39 444-56-86,hryhorii15@example.net
Шаблій Борислав Романович,Чоловіча,1964-06-13,Директор,селище Джанкой,"парк Садова 5-та, буд. 49, Нікополь, 64586",585-61-97,vira31@example.org
Левченко Гліб Демидович,Чоловіча,1978-09-25,Директор,село Городня,"шосе 9-та Лінія Дачі Ковалевського, буд. 754, Городище , 95730",399-47-59,riabchenkodanna@example.org
Артимович Ярослава Орхипівна,Жіноча,1971-12-16,Директор,хутір Дружківка,"узвіз Тургенєва, буд. 380 кв. 36, Гуляйполе, 52088",046 422 93 47,ekashchenko@example.com
Корбут Оксенія Устимівна,Жіноча,1994-02-21,Програміст,хутір Барвінкове,"площа Сєрогодського, буд. 8, Здолбунів, 86757",262 24 35,pzaichenko@example.com
Полтавець Кирило Аврелійович,Чоловіча,1945-02-27,Програміст,місто Зоринськ,"провулок Квітковий, буд. 24 кв. 61, Тиврів, 15309",072 79 05,volodymyrvelychko@example.org
Гаврилюк Охрім Прохорович,Чоловіча,1950-08-29,Директор,хутір Ходорів,"узвіз Східний 2-й, буд. 97, Броди, 30623",051 093-13-38,shakhraiiarema@example.net
Гук Аркадій Федорович,Чоловіча,1989-01-27,Директор,село Борислав,"площа Герцена, буд. 338, Білицьке, 84940",037-08-91,babarychenkomakar@example.net
Барабаш Зиновій Теодорович,Чоловіча,2004-08-28,Менеджер,селище Голубівка,"провулок Дальня, буд. 2 кв. 30, Зимогір'я, 06204",049 662-81-55,artymyshynaleontii@example.org
Зінкевич Розалія Ігорівна,Жіноча,1999-09-06,Менеджер,селище Ямпіль,"набережна Балтський 6-й, буд. 91, Теребовля, 06932",+380 22 312-12-02,marianabaturynets@example.net
Демиденко Панас Зорянович,Чоловіча,1990-08-30,Програміст,селище Шахтарськ,"площа Успенська, буд. 7, Підгайці, 45309",063 201 52 14,clesyk@example.net
Єфименко Богодар Андрійович,Чоловіча,1950-04-30,Менеджер,хутір Слов'янськ,"сквер Сосюри, буд. 70 кв. 3, Вуглегірськ, 68430",552-99-29,avrelii70@example.org
Скоробогатько Емілія Мартинівна,Жіноча,1999-03-09,Директор,селище Вільногірськ,"шосе Штурвальна, буд. 39, Дніпрорудне, 41357",+380 78 621-93-90,ivanchenkovolodymyra@example.net
Венгринович Амалія Бориславівна,Жіноча,1948-04-28,Програміст,місто Молочанськ,"площа Топольського, буд. 81 кв. 25, Благовіщенське, 88677",+380 34 983-39-07,dfomenko@example.org
Вишняк Давид Ааронович,Чоловіча,2007-02-11,Директор,місто Феодосія,"провулок Бориса Дерев'янка, буд. 220 кв. 5, Старий Самбір, 65751",660 22 98,anastasiiaoberemko@example.org
Андрощук Варвара Семенівна,Жіноча,1965-08-08,Програміст,селище Зборів,"провулок Немировича-Данченка, буд. 496, Андрушівка, 66792",767-58-38,prytulavarvara@example.net
Гавришкевич Роксолана Ростиславівна,Жіноча,1997-05-30,Програміст,місто Кропивницький,"узвіз Кристаловського, буд. 9, Середина-Буда, 59805",+380 (03) 544-41-63,ada49@example.org
Ярема Роксолана Максимівна,Жіноча,1980-06-11,Програміст,хутір Радехів,"проспект Єфімова, буд. 54, Сновськ, 44299",+380 80 811-09-17,tarashohol@example.com
Наливайко Ярина Ігорівна,Жіноча,1941-08-18,Менеджер,місто Тисмениця,"вулиця Лінія 24-та, буд. 57 кв. 6, Іршава, 21629",066 024-69-91,ostapchekaliuk@example.org
Малик Дарина Пантелеймонівна,Жіноча,2005-07-30,Аналітик,селище Сніжне,"проспект Космонавта Комарова, буд. 3 кв. 89, Новоазовськ, 47605",449-63-98,chernenkoleonid@example.net
Гаврилишина Віра Францівна,Жіноча,1941-02-05,Програміст,селище Кам'янка-Дніпровська,"шосе Заньковецької, буд. 99 кв. 884, Хирів, 39584",136-58-28,volodymyr35@example.net
Демиденко Демʼян Адамович,Чоловіча,1990-05-25,Менеджер,місто Сокиряни,"провулок Травневий 4-й, буд. 31 кв. 9, Авдіївка, 62886",676-50-48,hanna69@example.org
Фаренюк Семен Артемович,Чоловіча,1977-11-04,Аналітик,село Івано-Франківськ,"узвіз Коблевська, буд. 8 кв. 7, Рудки, 95845",+380 (49) 239-41-11,vadymarkhypenko@example.net
Влох Антон Васильович,Чоловіча,1972-05-10,Програміст,селище Балта,"набережна Рибальська балка, буд. 466 кв. 30, Василівка , 90343",+380 72 444 85 01,prymachenkoalina@example.net
Атаманчук Георгій Августинович,Чоловіча,1977-07-10,Програміст,село Вижниця,"набережна Гаріна, буд. 39, Ворожба, 99410",041 907-19-55,onishchukdemyd@example.com
Голобородько Валентин Степанович,Чоловіча,1954-05-12,Програміст,село Чортків,"провулок Улітіна, буд. 8, Світловодськ, 84706",+380 82 945-98-54,dchupryna@example.com
Ісаєнко Юхим Ростиславович,Чоловіча,1939-12-22,Менеджер,хутір Нововолинськ,"провулок Косовський, буд. 985 кв. 318, Славута, 49858",618-19-74,dzhussvitlana@example.org
Іваничук Людмила Устимівна,Жіноча,1940-05-07,Аналітик,місто Сіверськ,"вулиця Скляний 2-й, буд. 3, Горлівка, 38491",056 444-78-52,bdanchenko@example.org
Гавришкевич Альберт Георгійович,Чоловіча,1947-11-08,Директор,хутір Торецьк,"шосе Лиманчик 2-й Лінія 1-ша, буд. 049, Долинська, 72962",+380 (97) 555-02-95,pryimakiefrem@example.org
Ільєнко Василина Романівна,Жіноча,1989-12-31,Директор,хутір Підгайці,"площа Розумовський 1-й, буд. 625 кв. 823, Андрушівка, 06167",087 342-58-90,kalchenkoalbina@example.com
Девдюк Захар Бориславович,Чоловіча,1999-02-19,Директор,селище Пологи ,"провулок Гвоздична, буд. 941 кв. 37, Балаклія, 46284",728-41-65,revazakhar@example.net
Чміль Богодар Арсенович,Чоловіча,2006-06-15,Аналітик,село Комарно,"узвіз Миколи Гумільова, буд. 13 кв. 86, Шепетівка, 25306",+380 (11) 398-32-62,pylypzakusylo@example.org
Лупій Богодар Кирилович,Чоловіча,1947-11-26,Програміст,хутір Новомиргород,"шосе Виноградний, буд. 448, Тячів, 80126",714 88 37,ftereshchenko@example.net
Бевз Данило Назарович,Чоловіча,1995-02-24,Директор,селище Косів,"узвіз Ушинського, буд. 884, Первомайськ, 27999",825-75-04,ievtushokklavdiia@example.net
Зайченко Геннадій Орхипович,Чоловіча,1960-09-02,Директор,селище Кременець,"узвіз Василя Кандинського 2-й, буд. 27, Ромни, 78193",092 533 90 12,alina47@example.com
Лисенко Пилип Бориславович,Чоловіча,1993-03-13,Менеджер,місто Кремінна,"вулиця Мічманський 2-й, буд. 27, Броди, 78608",+380 12 103-54-17,marynasliusar@example.org
Алексеєнко Святослав Опанасович,Чоловіча,1943-11-19,Директор,селище Суми,"проспект Аптекарський, буд. 3, Бахчисарай, 75210",+380 80 314-61-11,khrystynakonoplia@example.com
Оробець Альбіна Альбертівна,Жіноча,1990-02-21,Менеджер,хутір Мукачево,"сквер Фруктовий, буд. 38, Бібрка, 59799",673-83-19,havrylo47@example.org
Шутько Маруся Захарівна,Жіноча,1969-05-22,Програміст,селище Великі Мости,"площа Центральна, буд. 899 кв. 24, Фастів, 05985",+380 63 495-15-03,oksanalesyk@example.net
Радченко Григорій Опанасович,Чоловіча,1947-09-03,Аналітик,село Березне,"узвіз Кристаловського, буд. 65, Маріуполь, 08558",+380 (44) 670-57-88,zieshchenko@example.org
Піддубна Анастасія Георгіївна,Жіноча,1977-10-27,Менеджер,хутір Обухів,"узвіз Магнітогорський 2-й, буд. 849, Рахів, 67442",054 842-68-23,babkoustym@example.com
Чубай Кирило Микитович,Чоловіча,1981-08-28,Менеджер,селище Городня,"сквер 12-та Суворовська, буд. 6 кв. 27, Чорнобиль, 02622",053 458-30-24,karmaliukzynovii@example.net
Романенко Богдан Олексович,Чоловіча,1989-11-02,Аналітик,місто Хрестівка,"площа Геологічна, буд. 6, Рахів, 50677",877 66 29,viteronysym@example.com
Тесленко Демид Прохорович,Чоловіча,1990-11-11,Аналітик,село Турка,"шосе Задніпровського, буд. 855 кв. 970, Красногорівка, 99412",598-40-67,kalchenkopylyp@example.com
Журба Одарка Глібівна,Жіноча,1985-07-30,Програміст,селище Збараж,"шосе Травневий, буд. 615 кв. 4, Житомир, 70018",+380 71 121-38-93,milenagereta@example.org
Василашко Мілена Геннадіївна,Жіноча,1980-10-31,Менеджер,хутір Кодима,"провулок Івана Франка, буд. 127 кв. 0, Камінь-Каширський, 54721",+380 98 831-23-67,haidenkosviatoslava@example.com
Колісниченко Артем Олександрович,Чоловіча,1998-03-24,Аналітик,селище Перещепине,"шосе Картамишевський, буд. 65 кв. 97, Снятин, 44697",+380 (48) 340-46-90,albina10@example.net
Піддубний Вадим Русланович,Чоловіча,1981-03-12,Директор,хутір Христинівка,"шосе Василя Кандинського 1-й, буд. 716 кв. 74, Кіцмань, 58807",+380 76 484 55 96,vysochanliudmyla@example.net
Твердохліб Семен Несторович,Чоловіча,1943-03-10,Програміст,село Бібрка,"набережна Льва Толстого, буд. 1 кв. 13, Монастирище, 31539",009 290 86 80,vhaievskyi@example.org
Височан Микита Климентович,Чоловіча,1966-02-24,Програміст,селище Коростень,"набережна Супутників, буд. 665, Мар'їнка, 79726",+380 19 090 98 20,zfastenko@example.com
Валенко Віктор Варфоломійович,Чоловіча,1953-07-04,Менеджер,місто Івано-Франківськ,"набережна Лінія 47-ма, буд. 884 кв. 137, Бердянськ, 75310",+380 49 231-94-99,lneporozhnii@example.com
